sample_index,file_path,true_label,pred_label,prob_yes,wrong_confidence,distance_to_threshold
30,F:\data\newdata\test\no\00179.txt,no,yes,0.5374966859817505,0.5374966859817505,0.03749668598175049
36,F:\data\newdata\test\no\00217.txt,no,yes,0.9534565806388855,0.9534565806388855,0.4534565806388855
37,F:\data\newdata\test\no\00226.txt,no,yes,0.5855644345283508,0.5855644345283508,0.08556443452835083
38,F:\data\newdata\test\no\00227.txt,no,yes,0.8165173530578613,0.8165173530578613,0.31651735305786133
39,F:\data\newdata\test\no\00228.txt,no,yes,0.7708492279052734,0.7708492279052734,0.27084922790527344
65,F:\data\newdata\test\no\00334.txt,no,yes,0.8178873658180237,0.8178873658180237,0.3178873658180237
69,F:\data\newdata\test\no\00352.txt,no,yes,0.7095662355422974,0.7095662355422974,0.20956623554229736
71,F:\data\newdata\test\no\00361.txt,no,yes,0.5791439414024353,0.5791439414024353,0.0791439414024353
77,F:\data\newdata\test\no\00392.txt,no,yes,0.7236924171447754,0.7236924171447754,0.2236924171447754
98,F:\data\newdata\test\no\00485.txt,no,yes,0.6671246290206909,0.6671246290206909,0.16712462902069092
100,F:\data\newdata\test\yes\00008.txt,yes,no,0.4627922773361206,0.5372077226638794,0.037207722663879395
132,F:\data\newdata\test\yes\00151.txt,yes,no,0.4949952960014343,0.5050047039985657,0.005004703998565674
149,F:\data\newdata\test\yes\00239.txt,yes,no,0.4202972948551178,0.5797027349472046,0.0797027051448822
168,F:\data\newdata\test\yes\00367.txt,yes,no,0.4102841913700104,0.589715838432312,0.08971580862998962
181,F:\data\newdata\test\yes\00412.txt,yes,no,0.2621113359928131,0.7378886938095093,0.2378886640071869
183,F:\data\newdata\test\yes\00424.txt,yes,no,0.39471158385276794,0.6052883863449097,0.10528841614723206
